"   ncalls","  tottime","  percall","  cumtime","  percall"," filename:lineno(function)"
"     1532","    0.003","    0.000","    0.003","    0.000"," {circle}"
"     2028","    0.003","    0.000","    0.003","    0.000"," {method 'enable' of 'mgl.Context' objects}"
"     5972","    0.003","    0.000","    0.003","    0.000"," {method 'tolist' of 'numpy.ndarray' objects}"
"      146","    0.002","    0.000","    0.003","    0.000"," ArcBall.py:173(Matrix4fSetRotationFromMatrix3f)"
"      403","    0.001","    0.000","    0.003","    0.000"," fromnumeric.py:3190(min)"
"      403","    0.001","    0.000","    0.003","    0.000"," {method 'join' of 'str' objects}"
"        6","    0.000","    0.000","    0.003","    0.000"," LowPassFilter.py:6(__init__)"
"        6","    0.000","    0.000","    0.003","    0.000"," _filter_design.py:2639(iirfilter)"
"        6","    0.000","    0.000","    0.003","    0.000"," _filter_design.py:3342(butter)"
"      2/1","    2.098","    1.049","    0.002","    0.002"," {built-in method exec_}"
"      2/1","    0.022","    0.011","    0.002","    0.002"," app.py:480(main)"
"        1","    0.002","    0.002","    0.002","    0.002"," {findFundamentalMat}"
"      2/1","    0.000","    0.000","    0.002","    0.002"," <string>:1(<module>)"
"        1","    0.000","    0.000","    0.002","    0.002"," __init__.py:2237(create_context)"
"        1","    0.000","    0.000","    0.002","    0.002"," __init__.py:2278(init_context)"
"        1","    0.000","    0.000","    0.002","    0.002"," __init__.py:2297(get_context)"
"        1","    0.000","    0.000","    0.002","    0.002"," {built-in method moderngl.mgl.create_context}"
"       84","    0.002","    0.000","    0.002","    0.000"," ArcBall.py:108(onScroll)"
"    11022","    0.002","    0.000","    0.002","    0.000"," _misc.py:181(_datacopied)"
"     4056","    0.002","    0.000","    0.002","    0.000"," dispatcher.py:426(__get__)"
"    23353","    0.002","    0.000","    0.002","    0.000"," multiarray.py:698(result_type)"
"    11020","    0.002","    0.000","    0.002","    0.000"," multiarray.py:769(dot)"
"    12606","    0.002","    0.000","    0.002","    0.000"," numeric.py:1478(_moveaxis_dispatcher)"
"      968","    0.002","    0.000","    0.002","    0.000"," {built-in method builtins.round}"
"     4202","    0.002","    0.000","    0.002","    0.000"," {built-in method numpy.promote_types}"
"      804","    0.001","    0.000","    0.002","    0.000"," __init__.py:2325(<genexpr>)"
"     1191","    0.001","    0.000","    0.002","    0.000"," copy.py:231(_keep_alive)"
"      397","    0.001","    0.000","    0.002","    0.000"," fromnumeric.py:1348(argmin)"
"        6","    0.000","    0.000","    0.002","    0.000"," _filter_design.py:1229(zpk2tf)"
"       20","    0.000","    0.000","    0.002","    0.000"," common.py:57(solve_lsq_trust_region)"
"      439","    0.000","    0.000","    0.002","    0.000"," fromnumeric.py:51(_wrapfunc)"
"        1","    0.001","    0.001","    0.001","    0.001"," {method 'program' of 'mgl.Context' objects}"
"        1","    0.000","    0.000","    0.001","    0.001"," __init__.py:1948(program)"
"        1","    0.000","    0.000","    0.001","    0.001"," helpers.py:406(motion_from_essential)"
"      399","    0.001","    0.000","    0.001","    0.000"," __init__.py:1286(__del__)"
"      402","    0.001","    0.000","    0.001","    0.000"," __init__.py:2308(fmt)"
"     1940","    0.001","    0.000","    0.001","    0.000"," _function_base_impl.py:169(_rot90_dispatcher)"
"     6130","    0.001","    0.000","    0.001","    0.000"," _linalg.py:553(_unary_dispatcher)"
"      665","    0.001","    0.000","    0.001","    0.000"," _moderngl.py:228(loader)"
"      131","    0.001","    0.000","    0.001","    0.000"," _twodim_base_impl.py:176(eye)"
"     6304","    0.001","    0.000","    0.001","    0.000"," fromnumeric.py:2333(_sum_dispatcher)"
"      117","    0.001","    0.000","    0.001","    0.000"," helpers.py:709(camera_pose_to_serializable)"
"     4202","    0.001","    0.000","    0.001","    0.000"," numeric.py:1552(_cross_dispatcher)"
"    10627","    0.001","    0.000","    0.001","    0.000"," shape_base.py:76(_atleast_2d_dispatcher)"
"      808","    0.001","    0.000","    0.001","    0.000"," {built-in method __new__ of type object at 0xa43b40}"
"        2","    0.001","    0.000","    0.001","    0.000"," {built-in method _posixsubprocess.fork_exec}"
"     4771","    0.001","    0.000","    0.001","    0.000"," {built-in method builtins.id}"
"     2029","    0.001","    0.000","    0.001","    0.000"," {built-in method height}"
"      969","    0.001","    0.000","    0.001","    0.000"," {built-in method time.time}"
"      397","    0.001","    0.000","    0.001","    0.000"," {method 'argmin' of 'numpy.ndarray' objects}"
"      693","    0.001","    0.000","    0.001","    0.000"," {method 'argsort' of 'numpy.ndarray' objects}"
"      847","    0.001","    0.000","    0.001","    0.000"," {method 'copy' of 'numpy.ndarray' objects}"
"      500","    0.001","    0.000","    0.001","    0.000"," {method 'dot' of 'numpy.ndarray' objects}"
"      464","    0.001","    0.000","    0.001","    0.000"," {method 'ravel' of 'numpy.ndarray' objects}"
"     1330","    0.001","    0.000","    0.001","    0.000"," {method 'remove' of 'list' objects}"
"      146","    0.001","    0.000","    0.001","    0.000"," {method 'sum' of 'numpy.generic' objects}"
"      399","    0.000","    0.000","    0.001","    0.000"," __init__.py:49(__del__)"
"      129","    0.000","    0.000","    0.001","    0.000"," _aliases.py:116(astype)"
"      117","    0.000","    0.000","    0.001","    0.000"," _aliases.py:89(asarray)"
"       33","    0.000","    0.000","    0.001","    0.000"," _differentiable_functions.py:677(_update_x)"
"      146","    0.000","    0.000","    0.001","    0.000"," _methods.py:49(_sum)"
"       12","    0.000","    0.000","    0.001","    0.000"," _polyutils.py:98(poly)"
"        7","    0.000","    0.000","    0.001","    0.000"," arrayprint.py:1001(fillFormat)"
"        7","    0.000","    0.000","    0.001","    0.000"," arrayprint.py:1588(_array_repr_implementation)"
"        7","    0.000","    0.000","    0.001","    0.000"," arrayprint.py:469(<lambda>)"
"        7","    0.000","    0.000","    0.001","    0.000"," arrayprint.py:510(_get_format_function)"
"        7","    0.000","    0.000","    0.001","    0.000"," arrayprint.py:564(wrapper)"
"        7","    0.000","    0.000","    0.001","    0.000"," arrayprint.py:581(_array2string)"
"        7","    0.000","    0.000","    0.001","    0.000"," arrayprint.py:619(array2string)"
"        7","    0.000","    0.000","    0.001","    0.000"," arrayprint.py:975(__init__)"
"       44","    0.000","    0.000","    0.001","    0.000"," common.py:106(phi_and_derivative)"
"     2028","    0.000","    0.000","    0.001","    0.000"," dispatcher.py:252(ordering)"
"       33","    0.000","    0.000","    0.001","    0.000"," least_squares.py:234(loss_function)"
"      139","    0.000","    0.000","    0.001","    0.000"," numerictypes.py:385(isdtype)"
"        2","    0.000","    0.000","    0.001","    0.000"," subprocess.py:1791(_execute_child)"
"        2","    0.000","    0.000","    0.001","    0.000"," subprocess.py:807(__init__)"
24345/773,0    0.15,3    0.00,0   30.89,7    0.00,4 {built-in method builtins.next}
267944/26,7940    0,.038    0,.000    0,.038    0,.000 {built-in method builtins.len}
"        3","    0.000","    0.000","    0.000","    0.000"," <frozen codecs>:260(__init__)"
"        3","    0.000","    0.000","    0.000","    0.000"," <frozen codecs>:309(__init__)"
"        2","    0.000","    0.000","    0.000","    0.000"," <frozen codecs>:319(decode)"
"        3","    0.000","    0.000","    0.000","    0.000"," <frozen importlib._bootstrap>:1390(_handle_fromlist)"
"        2","    0.000","    0.000","    0.000","    0.000"," <frozen os>:812(fsencode)"
"        6","    0.000","    0.000","    0.000","    0.000"," <frozen posixpath>:179(dirname)"
"        8","    0.000","    0.000","    0.000","    0.000"," <frozen posixpath>:41(_get_sep)"
"        2","    0.000","    0.000","    0.000","    0.000"," <frozen posixpath>:71(join)"
"        1","    0.000","    0.000","    0.000","    0.000"," ArcBall.py:102(__init__)"
"        3","    0.000","    0.000","    0.000","    0.000"," ArcBall.py:157(onClickLeftDown)"
"        1","    0.000","    0.000","    0.000","    0.000"," ArcBall.py:25(__init__)"
"        2","    0.000","    0.000","    0.000","    0.000"," ArcBall.py:36(setBounds)"
"        3","    0.000","    0.000","    0.000","    0.000"," ArcBall.py:43(click)"
"        1","    0.000","    0.000","    0.000","    0.000"," __init__.py:102(CFunctionType)"
"     1596","    0.000","    0.000","    0.000","    0.000"," __init__.py:1506(gc_mode)"
"        1","    0.000","    0.000","    0.000","    0.000"," __init__.py:1613(viewport)"
"        2","    0.000","    0.000","    0.000","    0.000"," __init__.py:1780(detect_framebuffer)"
"        2","    0.000","    0.000","    0.000","    0.000"," __init__.py:179(sub)"
"        1","    0.000","    0.000","    0.000","    0.000"," __init__.py:274(load)"
"        2","    0.000","    0.000","    0.000","    0.000"," __init__.py:280(_compile)"
"        1","    0.000","    0.000","    0.000","    0.000"," __init__.py:299(loads)"
"        2","    0.000","    0.000","    0.000","    0.000"," __init__.py:343(__init__)"
"        2","    0.000","    0.000","    0.000","    0.000"," __init__.py:373(_FuncPtr)"
"        4","    0.000","    0.000","    0.000","    0.000"," __init__.py:389(__getattr__)"
"        4","    0.000","    0.000","    0.000","    0.000"," __init__.py:396(__getitem__)"
"        3","    0.000","    0.000","    0.000","    0.000"," __init__.py:411(__getitem__)"
"      402","    0.000","    0.000","    0.000","    0.000"," __init__.py:420(is_transform)"
"        2","    0.000","    0.000","    0.000","    0.000"," __init__.py:517(cast)"
"        2","    0.000","    0.000","    0.000","    0.000"," __init__.py:73(CFUNCTYPE)"
"       18","    0.000","    0.000","    0.000","    0.000"," _aliases.py:122(ones)"
"       12","    0.000","    0.000","    0.000","    0.000"," _aliases.py:134(ones_like)"
"       12","    0.000","    0.000","    0.000","    0.000"," _aliases.py:467(argsort)"
"      181","    0.000","    0.000","    0.000","    0.000"," _array_computer_code.api.py:131(array_namespace)"
"       54","    0.000","    0.000","    0.000","    0.000"," _array_computer_code.api.py:170(_asarray)"
"       54","    0.000","    0.000","    0.000","    0.000"," _array_computer_code.api.py:217(xp_copy)"
"       12","    0.000","    0.000","    0.000","    0.000"," _arraytools.py:250(_validate_fs)"
"        1","    0.000","    0.000","    0.000","    0.000"," _compiler.py:216(_compile_charset)"
"        1","    0.000","    0.000","    0.000","    0.000"," _compiler.py:243(_optimize_charset)"
"        1","    0.000","    0.000","    0.000","    0.000"," _compiler.py:31(_combine_flags)"
